Num,Rad,Err,lnN,lnR,lnErr
10,4.24448,0.570558867,2.302585093,1.445619315,-0.561138929
100,21.2995,1.353620379,4.605170186,3.058683598,0.302782765
200,42.4384,0.701187913,5.298317367,3.748053613,-0.354979363
300,57.61973333,2.578463254,5.703782475,4.053865102,0.947193583
400,72.58236667,2.42940608,5.991464547,4.284722009,0.887646816
500,85.19606667,1.773996239,6.214608098,4.444955267,0.573234764
600,101.4144333,4.210316665,6.396929655,4.619215422,1.437537862
700,113.4273333,4.39253899,6.551080335,4.731162397,1.479907418
800,125.288,7.794616882,6.684611728,4.830615087,2.053433352
900,136.9373333,7.71767984,6.802394763,4.9195234,2.04351378
1000,145.1763333,7.444138283,6.907755279,4.977949096,2.007426915
1100,149.2083333,8.188866514,7.003065459,5.00534354,2.102775489
1200,155.841,8.542027531,7.090076836,5.048836257,2.144998395
1300,165.0393333,6.416328034,7.170119543,5.106183829,1.858845997
1400,169.3646667,6.791087452,7.244227516,5.132054181,1.915611084
1500,176.853,7.084800562,7.313220387,5.175318879,1.957951723
1600,188.4823333,10.54021585,7.377758908,5.23900428,2.355198022
1700,193.1963333,8.940079517,7.43838353,5.263706943,2.190544484
1800,199.839,6.717578904,7.495541944,5.297512042,1.904727807
1900,202.1546667,7.553830757,7.549609165,5.309033081,2.02205482
2000,208.1943333,9.687977022,7.60090246,5.338471938,2.270885634
2100,216.6926667,8.959730452,7.649692624,5.378480067,2.192740143
2200,221.875,10.77969426,7.696212639,5.40211416,2.377664203
2300,229.609,9.731698516,7.740664402,5.436377862,2.275388446
2400,234.9526667,12.98530033,7.783224016,5.459384075,2.563817974
2500,239.2636667,15.90893915,7.824046011,5.477566152,2.766881162
2600,243.8123333,17.30796686,7.863266724,5.496398804,2.851166908
2700,245.0923333,16.78492285,7.901007052,5.50163501,2.820481034
2800,252.2186667,15.32299643,7.937374696,5.530296436,2.729354734
2900,256.5906667,14.0333396,7.972466016,5.547482078,2.641435899
3000,263.0143333,14.29178091,8.006367568,5.57220853,2.65968461
3100,267.8303333,11.43870803,8.03915739,5.590353695,2.437003045
3200,269.321,10.82391967,8.070906089,5.595903977,2.381758469
3300,272.176,9.763528204,8.101677747,5.606448916,2.278653831
3400,275.3833333,9.391915572,8.131530711,5.618164066,2.239849274
3500,279.017,10.58468877,8.160518247,5.631272712,2.359408501
3600,280.024,9.863729332,8.188689124,5.634875314,2.288864325
3700,282.022,9.317795895,8.216088099,5.641985082,2.231926109
3800,284.8403333,9.070445493,8.242756346,5.651928789,2.20502138
3900,287.627,9.520775091,8.268731832,5.661664502,2.253476263
4000,291.2096667,10.49476289,8.29404964,5.674043512,2.35087636
4100,293.9653333,9.976690105,8.318742253,5.683461847,2.300251382
4200,297.628,11.11945138,8.342839804,5.695844385,2.408695951
4300,299.7133333,10.7066277,8.366370302,5.702826462,2.370862961
4400,301.5676667,10.48235458,8.38935982,5.708994424,2.349693327
4500,305.5196667,11.84985798,8.411832676,5.722014152,2.472315883
4600,308.9833333,11.57758907,8.433811582,5.733287338,2.449071253
4700,310.9096667,11.96815183,8.455317788,5.739502409,2.482249107
4800,314.743,12.27823652,8.476371197,5.751756433,2.507828306
4900,318.4516667,12.74305173,8.496990484,5.76347071,2.544986161
5000,323.9223333,10.04492051,8.517193191,5.780503775,2.307067085
