Sticking chance: 1
Number Particles (N), Cluster Radius(R)
10,3.16228
100,19.105
200,43.1045
300,62.6498
400,77.026
500,82.7345
600,93.7443
700,105.323
800,110.86
900,124.193
1000,133.929
1100,138.224
1200,144.368
1300,156.32
1400,160.162
1500,170.942
1600,175.696
1700,179.287
1800,187.856
1900,187.856
2000,191.442
2100,202.41
2200,202.41
2300,214.255
2400,214.965
2500,217.092
2600,221.287
2700,223.607
2800,232.297
2900,237.228
3000,242.99
3100,255.642
3200,255.642
3300,257.783
3400,260.279
3500,263.37
3600,266.391
3700,269.453
3800,273.936
3900,276.762
4000,277.752
4100,282.305
4200,285.911
4300,288.669
4400,290.878
4500,294.593
4600,296.971
4700,299.603
4800,302.597
4900,304.657
5000,315.699
