Sticking chance: 1
Number Particles (N), Cluster Radius(R)
10,4.47214
100,20.5913
200,25.4951
300,32.8024
400,37.8021
500,43.4166
600,46.8615
700,50
800,55.0091
900,58.0086
1000,62.2415
1100,69.3542
1200,74.5185
1300,77.3369
1400,80.9197
1500,86.6833
1600,88.7299
1700,89.8888
1800,92.9624
1900,96.0417
2000,101.02
2100,102.215
2200,104.307
2300,104.848
2400,111.221
2500,114.826
2600,117.047
2700,122.115
2800,124.02
2900,124.02
3000,126.606
3100,128.6
3200,129.321
3300,135.152
3400,138.755
3500,139.789
3600,142.239
3700,145.413
3800,145.89
3900,148.718
4000,153.652
4100,155.039
4200,158.644
4300,159.223
4400,160.312
4500,161.697
4600,165.303
4700,166.976
4800,169.499
4900,171.19
5000,171.511
