Num,Rad,Err,lnN,lnR,lnErr
10,4.070366667,0.464816667,2.302585093,1.403733085,-0.766112216
100,16.0374,1.033375234,4.605170186,2.774923495,0.032830371
200,21.155,0.631971458,5.298317367,3.051876284,-0.458911048
300,26.75973333,1.814370916,5.703782475,3.28689827,0.595738805
400,32.5557,2.322831098,5.991464547,3.482952469,0.842786743
500,36.3511,1.816344817,6.214608098,3.593224465,0.596826139
600,40.02576667,1.461663201,6.396929655,3.689523413,0.379574966
700,43.27816667,1.633159484,6.551080335,3.767648274,0.490516473
800,46.61576667,1.522489405,6.684611728,3.841938824,0.420346762
900,50.72626667,2.180697665,6.802394763,3.926443857,0.779644856
1000,54.8999,2.160305211,6.907755279,4.005511527,0.770249513
1100,58.25266667,3.412677513,7.003065459,4.064789871,1.227497178
1200,61.44223333,3.097274883,7.090076836,4.118097438,1.130522655
1300,63.39466667,3.145043872,7.170119543,4.149379736,1.14582784
1400,65.42803333,3.30475089,7.244227516,4.180950811,1.195361097
1500,67.564,3.612943302,7.313220387,4.213075297,1.284522759
1600,69.87403333,2.794771888,7.377758908,4.246694097,1.027750489
1700,72.54263333,3.232501292,7.43838353,4.284174435,1.173256231
1800,73.95006667,3.345446351,7.495541944,4.303390091,1.207600123
1900,76.0621,3.100128727,7.549609165,4.331550112,1.131443635
2000,76.79013333,3.131300562,7.60090246,4.34107616,1.141448433
2100,78.8623,2.744700663,7.649692624,4.367703294,1.009672021
2200,80.67173333,3.445079693,7.696212639,4.390388245,1.236947037
2300,82.42223333,2.992287728,7.740664402,4.411855223,1.096038221
2400,84.34673333,3.532950239,7.783224016,4.434936081,1.262133284
2500,86.45736667,3.375896936,7.824046011,4.459651422,1.216661048
2600,88.9316,3.068872829,7.863266724,4.487867535,1.121310338
2700,91.00443333,3.203985329,7.901007052,4.510908223,1.16439545
2800,92.0805,3.686596188,7.937374696,4.522663194,1.30470359
2900,94.82723333,3.010698207,7.972466016,4.552056639,1.102172014
3000,96.7345,3.0903,8.006367568,4.571970112,1.128268174
3100,99.39356667,3.508059243,8.03915739,4.59908739,1.255062962
3200,100.5962,3.567603739,8.070906089,4.611114484,1.271894149
3300,101.9346,3.786374743,8.101677747,4.624331431,1.331409029
3400,103.0384333,4.623919534,8.131530711,4.635102058,1.531242729
3500,104.59,4.738463921,8.160518247,4.650047945,1.555713016
3600,105.4758667,4.498505924,8.188689124,4.658482175,1.503745325
3700,107.8502333,4.797681091,8.216088099,4.680743536,1.568132695
3800,109.9116667,4.28864572,8.242756346,4.699677013,1.455971
3900,112.8486667,4.135595255,8.268731832,4.726047688,1.419631273
4000,113.7896667,4.276445461,8.29404964,4.734351715,1.453122165
4100,116.5913333,4.661312846,8.318742253,4.758674943,1.539297135
4200,118.093,4.625765378,8.342839804,4.77147245,1.531641844
4300,119.7446667,5.299015391,8.366370302,4.785361698,1.667521028
4400,121.783,5.303921788,8.38935982,4.802240772,1.668446507
4500,124.432,4.492833442,8.411832676,4.823759382,1.502483559
4600,126.994,5.966229071,8.433811582,4.844139841,1.786115082
4700,128.2266667,6.390266565,8.455317788,4.853799531,1.854775984
4800,130.015,6.560657767,8.476371197,4.867649828,1.881090867
4900,131.83,7.123914678,8.496990484,4.881513214,1.963457389
5000,133.139,7.371742964,8.517193191,4.891393695,1.997654173
