Sticking chance: 0.5
Number Particles (N), Cluster Radius(R)
10,3.60555
100,17.8045
200,25.4951
300,30.0832
400,38.4187
500,45.4533
600,50.9313
700,55.1725
800,62.9365
900,70.1783
1000,70.7672
1100,72.3464
1200,77.3369
1300,80.8084
1400,83.8689
1500,86.0523
1600,89.1964
1700,93.3809
1800,94.7945
1900,97.6217
2000,99.0051
2100,103.947
2200,110.309
2300,117.414
2400,119.604
2500,121.696
2600,123.843
2700,125.873
2800,132.246
2900,134.358
3000,138.658
3100,141.534
3200,145.911
3300,150.073
3400,153.056
3500,154.797
3600,157.267
3700,160.86
3800,163.221
3900,165.702
4000,169.012
4100,169.806
4200,171.207
4300,176.4
4400,177.429
4500,180.854
4600,182.609
4700,184.024
4800,184.448
4900,187.427
5000,188.831
