Number Particles (N), Cluster Radius(R)
10,4.47214
100,12.8062
200,19.6469
300,24.1868
400,31.0644
500,35.0571
600,37
700,40.2244
800,45.0444
900,50.04
1000,54.0093
1100,56.0803
1200,61.0082
1300,62.0081
1400,65.0077
1500,66
1600,66
1700,70.8308
1800,73.0068
1900,73.7564
2000,75.505
2100,76.9025
2200,78.7718
2300,80.8084
2400,82.8553
2500,82.8553
2600,86.539
2700,88.6397
2800,89.9611
2900,89.9611
3000,89.9611
3100,93.0376
3200,93.9415
3300,94.8472
3400,96.1769
3500,99.7447
3600,100.648
3700,101.553
3800,102.46
3900,103.368
4000,104.446
4100,106.174
4200,107.042
4300,107.424
4400,109.289
4500,111.221
4600,112.058
4700,114.586
4800,116.503
4900,117.137
5000,118.849
