Sticking chance: 0.5
Number Particles (N), Cluster Radius(R)
10,3
100,11.1803
200,16.7631
300,22.561
400,25.318
500,31.5753
600,33.0151
700,35.609
800,37.5366
900,43.1393
1000,43.2897
1100,48.0833
1200,51.6236
1300,53.2635
1400,56.6392
1500,58.1378
1600,59.4643
1700,62.9682
1800,64.4438
1900,66.0303
2000,70.0643
2100,71.0634
2200,73.0068
2300,76
2400,78
2500,79.0253
2600,83.006
2700,84.006
2800,90.0222
2900,92.0869
3000,95.0842
3100,97.0824
3200,100.125
3300,103.121
3400,103.31
3500,104.48
3600,106.005
3700,106.471
3800,109.165
3900,109.165
4000,111.005
4100,114.018
4200,116.017
4300,118.068
4400,118.106
4500,120.104
4600,121.103
4700,122.102
4800,124.036
4900,125.256
5000,125.399
