Number,Avg rad,std dev,ln(n),ln(r),ln(dev)
10,3.7615775,1.05589357873861,2.30258509299405,1.32483841728854,0.0543874024960052
100,14.4324125,2.15942417882804,4.60517018598809,2.66947654522887,0.769841602280367
200,20.7561625,1.75074398710744,5.29831736654804,3.03284319053632,0.560040833080901
300,25.7674,1.57369123401003,5.7037824746562,3.24911012706361,0.453423964303535
400,30.4578,2.71458498801251,5.99146454710798,3.41634211898861,0.998639082774528
500,34.652825,1.94425152822365,6.21460809842219,3.54537925189409,0.6648770846148
600,37.8846,2.27002449011333,6.39692965521615,3.63454469705915,0.819790620031296
700,41.051275,2.73476465153507,6.5510803350434,3.71482189509941,1.00604538154434
800,44.793825,2.62130391476674,6.68461172766793,3.80207029509942,0.96367187136457
900,47.9495125,2.47157823808276,6.80239476332431,3.87014863443731,0.904856909376623
1000,51.5224875,2.54821498893273,6.90775527898214,3.94201836285105,0.935393109712795
1100,55.3380625,3.69511106229279,7.00306545878646,4.01346096290382,1.30701061140252
1200,58.3727875,3.94523155266039,7.09007683577609,4.06684981377185,1.37250764779977
1300,61.075,4.25541901344627,7.17011954344963,4.1121026171438,1.44819323272248
1400,63.4550875,4.33617866310797,7.24422751560335,4.15033237219113,1.46699346787978
1500,65.1680375,3.48490250117253,7.3132203870903,4.17696912634169,1.24844006711311
1600,67.4866875,3.6326193648415,7.37775890822787,4.2119303562054,1.28995397616784
1700,70.1780625,4.09393233803307,7.43838353004431,4.25103576219347,1.40950595999775
1800,72.3319125,4.4034203311379,7.49554194388426,4.28126542182228,1.48238158693164
1900,75.0013,4.34990310466796,7.54960916515453,4.31750544671942,1.47015357006353
2000,76.8850625,4.65201246741282,7.60090245954208,4.34231161186971,1.53729991466418
2100,79.1352375,5.27654051220724,7.64969262371151,4.37115825598122,1.66327067695554
2200,81.5478375,4.38505692516805,7.69621263934641,4.40118981124149,1.47820260753419
2300,83.74075,4.35689117507295,7.74066440191724,4.42772571684418,1.47175876979169
2400,85.796425,4.76287551822876,7.78322401633604,4.45197733895917,1.56085158631632
2500,87.7164875,4.92147432133255,7.82404601085629,4.47410988056832,1.59360814442291
2600,89.870975,5.08055202055558,7.86326672400957,4.49837503061555,1.62541992115042
2700,91.9933,5.12624832741116,7.90100705199242,4.52171574831014,1.63437407144486
2800,93.7746125,4.87971516336104,7.9373746961633,4.54089416372801,1.58508684999785
2900,96.0676875,5.14284890515461,7.97246601597457,4.56505302114203,1.63760718762402
3000,97.6462875,6.18288108696388,8.00636756765025,4.58135163816679,1.82178435813593
3100,99.7531375,5.82319939918586,8.03915739047324,4.6026985089094,1.76184983564596
3200,101.2992625,6.44601466111038,8.07090608878782,4.61807913087276,1.86346205784154
3300,102.836675,6.98977845157791,8.10167774745457,4.63314205009749,1.94444886069019
3400,104.799725,7.57114125625344,8.13153071060425,4.6520511478377,2.02434381648951
3500,106.5817375,6.77853590364205,8.16051824747751,4.66891217904388,1.91376113521754
3600,107.843375,6.39533722862658,8.1886891244442,4.68067994303926,1.85556916681115
3700,109.512375,7.13659420447077,8.21608809863232,4.69603755656962,1.9652356603748
3800,110.911,7.08990646724523,8.24275634571448,4.70872807789554,1.95867214824901
3900,112.1495,7.34735884519056,8.26873183211774,4.71983280264152,1.99434090785597
4000,113.6805,7.72803218345857,8.29404964010203,4.73339188209022,2.04485426142776
4100,115.8795,8.80881313555594,8.3187422526924,4.75255085808342,2.17575271300176
4200,117.224625,9.28383101245694,8.34283980427146,4.76409196599421,2.22827428622768
4300,118.890625,9.35155284183174,8.36637030168165,4.77820395281685,2.23554240885124
4400,120.503875,9.62523728000659,8.38935981990635,4.79168191009001,2.2643885323382
4500,122.32025,9.71018416406198,8.41183267575841,4.80664260543821,2.27317524855612
4600,123.83375,9.82931890897257,8.43381158247719,4.81893994022159,2.28536964477719
4700,125.548125,10.3184626822507,8.45531778769815,4.83268915120295,2.33393478405885
4800,127.25975,10.5626998544068,8.47637119689598,4.84623027332055,2.35732891363156
4900,129.14175,10.0366628311264,8.49699048409872,4.86091063829127,2.30624467167266
5000,130.0825,10.1323419236198,8.51719319141624,4.86816886455701,2.31573247847287
