,,,,,
N,R,Std err,lnN,lnR,lnErr
10,3.7615775,0.373314754868701,2.30258509299405,1.32483841728854,0.0430719833934078
100,14.4324125,0.763471740153748,4.60517018598809,2.66947654522887,0.022958513361971
200,20.7561625,0.618981472702622,5.29831736654804,3.03284319053632,0.0129425638844819
300,25.7674,0.556383871531158,5.7037824746562,3.24911012706361,0.0093711666774499
400,30.4578,0.959750726565423,5.99146454710798,3.41634211898861,0.0136757026222969
500,34.652825,0.687396719969625,6.21460809842219,3.54537925189409,0.00860911560505724
600,37.8846,0.802574855209335,6.39692965521615,3.63454469705915,0.00919417090746244
700,41.051275,0.966885315024856,6.5510803350434,3.71482189509941,0.0102220510013584
800,44.793825,0.926770886841202,6.68461172766793,3.80207029509942,0.00897933063070817
900,47.9495125,0.87383486619071,6.80239476332431,3.87014863443731,0.00790924270453778
1000,51.5224875,0.900930049297768,6.90775527898214,3.94201836285105,0.00758898998025341
1100,55.3380625,1.30641904469233,7.00306545878646,4.01346096290382,0.0102458568258777
1200,58.3727875,1.39484999211865,7.09007683577609,4.06684981377185,0.0103706696648587
1300,61.075,1.50451782059901,7.17011954344963,4.1121026171438,0.0106911294988125
1400,63.4550875,1.53307066856003,7.24422751560335,4.15033237219113,0.010485410963385
1500,65.1680375,1.23209909517653,7.3132203870903,4.17696912634169,0.00820541829737643
1600,67.4866875,1.2843248931745,7.37775890822787,4.2119303562054,0.00825936231701594
1700,70.1780625,1.44742365897104,7.43838353004431,4.25103576219347,0.0089512569258154
1800,72.3319125,1.55684418828116,7.49554194388426,4.28126542182228,0.0093412486184991
1900,75.0013,1.53792299140757,7.54960916515453,4.31750544671942,0.00889929345585855
2000,76.8850625,1.64473478093598,7.60090245954208,4.34231161186971,0.00928418176061464
2100,79.1352375,1.86553878869364,7.64969262371151,4.37115825598122,0.0102311417754074
2200,81.5478375,1.55035174383768,7.69621263934641,4.40118981124149,0.00825101777622924
2300,83.74075,1.54039364739295,7.74066440191724,4.42772571684418,0.00798333956847225
2400,85.796425,1.68393078844347,7.78322401633604,4.45197733895917,0.00851814002954631
2500,87.7164875,1.74000393302485,7.82404601085629,4.47410988056832,0.00860911931673947
2600,89.870975,1.79624639295293,7.86326672400957,4.49837503061555,0.00867433489557194
2700,91.9933,1.81240247717931,7.90100705199242,4.52171574831014,0.00855043438050187
2800,93.7746125,1.72523984113571,7.9373746961633,4.54089416372801,0.00798461407721516
2900,96.0676875,1.81827166772632,7.97246601597457,4.56505302114203,0.00821431143320924
3000,97.6462875,2.18597857193111,8.00636756765025,4.58135163816679,0.00971582970031606
3100,99.7531375,2.05881189168288,8.03915739047324,4.6026985089094,0.00895735596276727
3200,101.2992625,2.27901033924953,8.07090608878782,4.61807913087276,0.00976404430618925
3300,102.836675,2.47125987105117,8.10167774745457,4.63314205009749,0.0104294191156629
3400,104.799725,2.67680266180902,8.13153071060425,4.6520511478377,0.0110852614854201
3500,106.5817375,2.39657435199089,8.16051824747751,4.66891217904388,0.00975883198342534
3600,107.843375,2.26109316116832,8.1886891244442,4.68067994303926,0.00909944103610491
3700,109.512375,2.52316707827895,8.21608809863232,4.69603755656962,0.00999936776070342
3800,110.911,2.50666047048373,8.24275634571448,4.70872807789554,0.00980868123260938
3900,112.1495,2.5976836316226,8.26873183211774,4.71983280264152,0.0100526056391175
4000,113.6805,2.73227198107572,8.29404964010203,4.73339188209022,0.0104310417335151
4100,115.8795,3.11438575117837,8.3187422526924,4.75255085808342,0.0116642151201154
4200,117.224625,3.28232993214913,8.34283980427146,4.76409196599421,0.0121521496916943
4300,118.890625,3.30627321454178,8.36637030168165,4.77820395281685,0.0120692659754386
4400,120.503875,3.40303527561111,8.38935981990635,4.79168191009001,0.0122561810532252
4500,122.32025,3.43306853448923,8.41183267575841,4.80664260543821,0.0121807447578657
4600,123.83375,3.47518902748983,8.43381158247719,4.81893994022159,0.0121794909540459
4700,125.548125,3.6481274670199,8.45531778769815,4.83268915120295,0.012610999333416
4800,127.25975,3.73447834734461,8.47637119689598,4.84623027332055,0.012735869768309
4900,129.14175,3.54849617418623,8.49699048409872,4.86091063829127,0.0119252475639894
5000,130.0825,3.58232384174614,8.51719319141624,4.86816886455701,0.0119518655262455
