Number Particles (N), Cluster Radius(R)
10,3
100,16.0312
200,23.0217
300,29.1548
400,36.1248
500,38.0526
600,41.1947
700,44.1022
800,47
900,51.0392
1000,53.0848
1100,54.1479
1200,56.0089
1300,58.0345
1400,60.0333
1500,62.0322
1600,64.56
1700,66.9403
1800,67.0298
1900,68.884
2000,71.0634
2100,72.1249
2200,77.1038
2300,78.1025
2400,79.404
2500,82.4924
2600,84.4808
2700,87.4643
2800,89.2749
2900,91.2688
3000,91.351
3100,93.0054
3200,94.0053
3300,95.0211
3400,98.0051
3500,101
3600,102
3700,102.02
3800,103
3900,104.043
4000,106.005
4100,106.118
4200,107.005
4300,108.812
4400,110.603
4500,111.571
4600,114.237
4700,114.237
4800,115.209
4900,120.071
5000,121.05
