Sticking chance: 0.01
Number Particles (N), Cluster Radius(R)
10,2.23607
100,10.4403
200,13.4164
300,16.7631
400,18.9737
500,23.2594
600,23.8537
700,25.0799
800,26.9258
900,27.6586
1000,28.6356
1100,31.0483
1200,31.0483
1300,31.7648
1400,34.1321
1500,35.3553
1600,35.3553
1700,36.2353
1800,36.4005
1900,36.7151
2000,38.833
2100,39.2938
2200,39.4588
2300,41.1096
2400,42.19
2500,43.1856
2600,44.3847
2700,45.607
2800,46.3249
2900,47.2652
3000,48.2597
3100,48.2597
3200,49.2544
3300,49.2544
3400,49.2544
3500,50.1597
3600,51.0882
3700,52.4309
3800,52.4309
3900,53.0094
4000,53.2541
4100,54.0833
4200,54.0833
4300,55.4707
4400,55.4707
4500,56.6127
4600,57.2014
4700,59.0339
4800,59.0339
4900,61.0737
5000,62.0725
