,,,,,
N,R,Err,ln N,ln R,ln Err
10,3.11972666666667,0.548020938296258,2.30258509299405,1.13774539114608,0.135396137333333
100,11.7528333333333,0.87687154196673,4.60517018598809,2.46409434627363,0.0510072966666667
200,18.2289,0.594866447196343,5.29831736654804,2.9030082467713,0.039556713
300,22.6051666666667,0.914690432757323,5.7037824746562,3.11817849371946,0.0327021411111111
400,25.8471666666667,0.891612751017939,5.99146454710798,3.25220098824183,0.0280441758333333
500,29.2825333333333,0.517236516928614,6.21460809842219,3.37699120629757,0.0254172389333333
600,31.6285666666667,0.806291515382481,6.39692965521615,3.45406072066215,0.0228779965555556
700,35.7546666666667,0.684158608153922,6.5510803350434,3.57668079675145,0.0221678933333333
800,39.4084,0.699685531745037,6.68461172766793,3.67397899154997,0.021379057
900,42.207,1.56557046897715,6.80239476332431,3.74258608406319,0.0203531533333333
1000,44.6251666666667,2.03234075336243,6.90775527898214,3.79829797492009,0.0193673223333333
