Num,Rad,Err,lnN,lnR,lnErr
10,2.947206667,0.396215101,2.302585093,1.080857829,-0.92579803
100,12.56823333,0.92359092,4.605170186,2.531172466,-0.079486032
200,17.72976667,1.152362059,5.298317367,2.87524496,0.1418138
300,23.92283333,2.085454606,5.703782475,3.174833372,0.734986868
400,27.48313333,1.157352003,5.991464547,3.313572483,0.146134639
500,32.3656,0.482890992,6.214608098,3.47709613,-0.727964341
600,33.9953,0.701740702,6.396929655,3.52622228,-0.354191313
700,37.6747,1.344898035,6.551080335,3.628988782,0.296318199
800,40.14703333,1.393281326,6.684611728,3.692548548,0.331661632
900,45.71973333,1.298605624,6.802394763,3.822530006,0.261291092
1000,47.17963333,1.968372563,6.907755279,3.853962302,0.677207091
1100,50.32333333,1.396014711,7.003065459,3.918468853,0.333621543
1200,52.76646667,0.591189314,7.090076836,3.965875888,-0.525618985
1300,54.66103333,0.765610905,7.170119543,4.001151085,-0.267081195
1400,57.14826667,0.452928568,7.244227516,4.04564906,-0.792020852
1500,59.37033333,0.643513953,7.313220387,4.083794663,-0.440811569
1600,60.73836667,0.652473694,7.377758908,4.106575569,-0.426984457
1700,63.23723333,0.598409894,7.43838353,4.146893263,-0.513479319
1800,64.6612,1.064080609,7.495541944,4.169161331,0.062111149
1900,66.8378,0.923639813,7.549609165,4.202268789,-0.079433097
2000,68.89226667,0.872646283,7.60090246,4.232543932,-0.13622498
2100,70.6341,1.039040678,7.649692624,4.257513031,0.038297862
2200,72.58103333,1.152676677,7.696212639,4.284703639,0.142086783
2300,74.79646667,1.115814443,7.740664402,4.314770647,0.10958458
2400,76.5812,1.412404833,7.783224016,4.338351616,0.345293807
2500,77.58636667,1.531497714,7.824046011,4.351391724,0.426246155
2600,80.85653333,1.715383505,7.863266724,4.392676391,0.539636673
2700,82.42606667,1.624737396,7.901007052,4.41190173,0.4853462
2800,85.53523333,2.619200624,7.937374696,4.448928377,0.962869166
2900,86.9086,2.697915496,7.972466016,4.464856992,0.992479436
3000,88.64073333,3.499093981,8.006367568,4.484591496,1.252504072
3100,91.7345,3.197650876,8.03915739,4.518898535,1.162416439
3200,94.08173333,3.485440431,8.070906089,4.544163908,1.248594415
3300,96.5691,4.106037433,8.101677747,4.570258814,1.412458435
3400,97.50866667,3.854697988,8.131530711,4.579941263,1.349292661
3500,99.54016667,3.400678441,8.160518247,4.600561248,1.223974953
3600,101.7663,2.968461626,8.188689124,4.622679008,1.088043847
3700,102.9508667,2.982396802,8.216088099,4.634251852,1.092727273
3800,104.9880333,3.068768955,8.242756346,4.653846375,1.121276489
3900,105.909,2.478093891,8.268731832,4.662580235,0.907489672
4000,107.128,2.642901121,8.29404964,4.674024381,0.971877223
4100,108.9506667,3.150077477,8.318742253,4.69089518,1.147427048
4200,110.863,2.864903198,8.342839804,4.708295205,1.052534562
4300,112.3673333,3.156527698,8.366370302,4.721773267,1.149472594
4400,112.961,2.874504653,8.38935982,4.727042626,1.055880365
4500,114.2516667,3.152692518,8.411832676,4.738403618,1.148256855
4600,115.5133333,3.085516722,8.433811582,4.749385963,1.126719138
4700,117.0906667,3.091025792,8.455317788,4.762948563,1.128503007
4800,118.1046667,3.651221592,8.476371197,4.771571237,1.295061794
4900,118.8743333,3.671154784,8.496990484,4.778066913,1.300506267
5000,119.7316667,3.465685903,8.517193191,4.785253128,1.242910565
