Sticking chance: 0.5
Number Particles (N), Cluster Radius(R)
10,2.23607
100,12.2066
200,16.4012
300,21.1896
400,27.8568
500,32.28
600,33.6155
700,37.2156
800,40.6079
900,46.7547
1000,48.6004
1100,50
1200,53.0754
1300,55.9017
1400,58.0517
1500,60.3075
1600,61.6198
1700,64.3817
1800,66.6033
1900,68.6804
2000,69.4262
2100,72.1803
2200,74.3303
2300,75.8222
2400,77.9872
2500,79.2086
2600,82.0975
2700,84.0952
2800,85.6329
2900,85.6329
3000,87.7838
3100,92.0978
3200,94.0691
3300,97.5807
3400,99.0051
3500,101.119
3600,103.247
3700,105.361
3800,106.794
3900,107.517
4000,108.301
4100,109.659
4200,110.454
4300,111.866
4400,112.61
4500,113.358
4600,114.983
4700,117.72
4800,118.828
4900,118.828
5000,120.354
