Num,Rad,Err,lnN,lnR,lnErr
10,3.17382,0.544772084,2.302585093,1.15493591,-0.607387767
100,14.35076667,0.600875021,4.605170186,2.663803367,-0.509368317
200,20.3121,0.457815207,5.298317367,3.011216768,-0.781289655
300,24.5726,0.307107169,5.703782475,3.201632001,-1.180558507
400,28.7185,0.351564518,5.991464547,3.357541514,-1.045362035
500,32.52796667,0.362254424,6.214608098,3.482100232,-1.015408485
600,34.94853333,0.365370316,6.396929655,3.553876503,-1.006843875
700,38.3722,0.97641018,6.551080335,3.647333239,-0.023872514
800,40.4401,0.894127431,6.684611728,3.699821867,-0.111906973
900,43.11526667,0.193211096,6.802394763,3.763877149,-1.643971924
1000,45.62783333,0.466282841,6.907755279,3.82051791,-0.762962874
1100,48.37343333,0.583544918,7.003065459,3.878950765,-0.53863385
1200,52.08363333,0.693817693,7.090076836,3.95285076,-0.365546043
1300,54.8107,0.477722765,7.170119543,4.00388543,-0.738724705
1400,56.84283333,0.972832814,7.244227516,4.04029015,-0.027543037
1500,59.91096667,1.529261014,7.313220387,4.092859571,0.424784621
1600,63.7567,2.557483222,7.377758908,4.155074277,0.939023658
1700,66.4877,2.833412647,7.43838353,4.197016968,1.041481868
1800,67.46083333,2.831966281,7.495541944,4.211547183,1.040971269
1900,68.48613333,2.378878366,7.549609165,4.226631292,0.866629102
2000,70.43803333,1.976475471,7.60090246,4.254733363,0.681315193
2100,72.74703333,1.761379793,7.649692624,4.286988126,0.566097475
2200,74.7443,1.952172793,7.696212639,4.314072955,0.668943005
2300,76.39953333,2.173367397,7.740664402,4.335976588,0.77627776
2400,78.8338,2.261747621,7.783224016,4.367341839,0.816137798
2500,80.55183333,1.834839601,7.824046011,4.38890087,0.606957067
2600,82.9348,1.656286018,7.863266724,4.418054757,0.504577757
2700,85.02293333,1.884287551,7.901007052,4.442921024,0.633549792
2800,86.83476667,2.048075004,7.937374696,4.464007079,0.716900329
2900,89.294,2.263912278,7.972466016,4.491934296,0.817094413
3000,91.73346667,2.766604196,8.006367568,4.518887271,1.017620646
3100,93.04106667,2.124875219,8.03915739,4.533040973,0.75371308
3200,94.41033333,1.084952978,8.070906089,4.54765053,0.081536648
3300,96.69623333,0.500973274,8.101677747,4.57157445,-0.691202525
3400,98.1848,0.455459519,8.131530711,4.586851417,-0.786448438
3500,99.3618,0.3416,8.160518247,4.598767734,-1.074114817
3600,100.8793333,0.594484744,8.188689124,4.613925083,-0.520060225
3700,102.6486667,0.540666667,8.216088099,4.631312154,-0.614952333
3800,103.8633333,0.433054397,8.242756346,4.643075932,-0.83689193
3900,105.386,0.27876334,8.268731832,4.6576298,-1.277392099
4000,106.6633333,0.367461714,8.29404964,4.669677457,-1.001136146
4100,108.3423333,0.715854346,8.318742253,4.685295967,-0.33427856
4200,111.5206667,0.266410919,8.342839804,4.714209925,-1.322715354
4300,113.0376667,0.288966165,8.366370302,4.727721097,-1.241445674
4400,115.3733333,1.536660484,8.38935982,4.748173247,0.429611545
4500,116.025,1.268689481,8.411832676,4.753805685,0.237984463
4600,117.3503333,1.710513795,8.433811582,4.765163763,0.536793791
4700,119.0996667,2.435917783,8.455317788,4.779960678,0.890323598
4800,120.1193333,2.481298674,8.476371197,4.788485693,0.908782082
4900,122.3236667,2.700733069,8.496990484,4.806670537,0.993523243
5000,124.01,3.548626824,8.517193191,4.820362208,1.266560718
