Sticking chance: 0.75
Number Particles (N), Cluster Radius(R)
10,4.12311
100,14.8661
200,19.6469
300,25.1794
400,28.0179
500,32.28
600,35.171
700,37
800,39.8246
900,43.4166
1000,45.8912
1100,47.5395
1200,51.2445
1300,54.1295
1400,54.9181
1500,56.8859
1600,58.7282
1700,61
1800,61.9839
1900,63.7809
2000,66.7083
2100,69.4262
2200,71.5891
2300,73.1095
2400,75.9539
2500,78.5175
2600,82.0366
2700,84.8646
2800,87.046
2900,89.1964
3000,92.0978
3100,93.723
3200,94.1116
3300,95.901
3400,97.4526
3500,99.0202
3600,99.985
3700,102.108
3800,104.235
3900,105.224
4000,107.056
4100,108.904
4200,111.879
4300,112.872
4400,117.958
4500,117.958
4600,120.507
4700,123.794
4800,124.952
4900,127.577
5000,130.698
